"Exe","Case","Click","ClickDescription","ClickMode","ClientClickX","ClientClickY","ScreenClickX","ScreenClickY","ClientWidth","ClientHeight","RenderScale","RenderX","RenderY","CaptureWidth","CaptureHeight","Before","After","BeforeHash","AfterHash","ChangedPercent","ExitedAfterClick","ExitCode","Passed","Error"
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hddisplay_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hddisplay_absinput-native-exit\after.png","2453F357817AA2EA90D8891BB740B25652939720C2872801BA255753531C58C7","3C38C94243F9E84738A2B7D6E4CFB5B3053C2E852E80895F1474D36BF792CCDE","29.004","False",,"True",
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hddisplay_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hddisplay_absinput-centered-exit\after.png","0E6756F3A17B0A5B871AE931D42B47B9FBCE09899025C8D8FFF7A081F45BC87C","DAEE800D36AFB0C9BBB9FA7C238B32235EE48CBC94D965F90D76544B411E7C39","29.138","False",,"True",
"C:\Clash\clash95_hddisplay_centered_absinput.exe","clash95_hddisplay_centered_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hddisplay_centered_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hddisplay_centered_absinput-native-exit\after.png","0984F900472324FC6C4272E8DF62E87C3D3B3C90423802954140BAB49AA0E218","6E8D09040A9992B431AAACAA2B2295C1D903388F4415CC7092F128E2D3B0015C","0.145","False",,"False",
"C:\Clash\clash95_hddisplay_centered_absinput.exe","clash95_hddisplay_centered_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hddisplay_centered_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hddisplay_centered_absinput-centered-exit\after.png","19D94B3E020353420A0D24E23B6CE3D60C06381E4DF41442D4F540DD0221FF2D","515D608E9F18ECB644BA9BF7CCCFAE03A289073DB7663748B5C953E158095881","1.447","False",,"True",
"C:\Clash\clash95_isolate_inputbounds_absinput.exe","clash95_isolate_inputbounds_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_inputbounds_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_inputbounds_absinput-native-exit\after.png","829041AAAE866B79A688FDE6E7023746EA416E7FBBA34B0A111BD18E497379FA","FB9EBAF36381B4C3FD31272A3C2041827B7CB08F87337A33593D1DB444508992","0.127","False",,"False",
"C:\Clash\clash95_isolate_inputbounds_absinput.exe","clash95_isolate_inputbounds_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_inputbounds_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_inputbounds_absinput-centered-exit\after.png","0B82A2CC188A89F896C21B5AF34F81B2F79DCF2349658CC63951BE96E689AA84","FB9EBAF36381B4C3FD31272A3C2041827B7CB08F87337A33593D1DB444508992","29.013","False",,"True",
"C:\Clash\clash95_isolate_viewportcall_absinput.exe","clash95_isolate_viewportcall_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_viewportcall_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_viewportcall_absinput-native-exit\after.png","1903C8E5F4C9C6657DA3084C827D11F0B1BC68FC438AF0C9F9049FB42C783184","777FE093961944C2DD9AF3C1EA7B3EF78FC8178AC75E899A2CC7314F4D1CD091","1.428","False",,"True",
"C:\Clash\clash95_isolate_viewportcall_absinput.exe","clash95_isolate_viewportcall_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_viewportcall_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_viewportcall_absinput-centered-exit\after.png","829041AAAE866B79A688FDE6E7023746EA416E7FBBA34B0A111BD18E497379FA","992C0A1461580CC4AE36F947711B66DF74A3B6B72AA7E54A21E755800D1D1E59","0.013","False",,"False",
"C:\Clash\clash95_isolate_loops_absinput.exe","clash95_isolate_loops_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_loops_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_loops_absinput-native-exit\after.png","E9319B97A4CF500F9E15EA0243F2CE74CBC4355DA51F25B2B1223C856E68032C","E9319B97A4CF500F9E15EA0243F2CE74CBC4355DA51F25B2B1223C856E68032C","0","False",,"False",
"C:\Clash\clash95_isolate_loops_absinput.exe","clash95_isolate_loops_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_loops_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_loops_absinput-centered-exit\after.png","F35557BCB1E2A91DD9F16041934CC043E41799520ACB2B422A51730D609C7C5B","548A3A4B33E4DE36644FCCAA4085BFE12A250942422671C85E075D87BB5446B1","7.477","False",,"True",
"C:\Clash\clash95_isolate_surface_absinput.exe","clash95_isolate_surface_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_surface_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_surface_absinput-native-exit\after.png","F35557BCB1E2A91DD9F16041934CC043E41799520ACB2B422A51730D609C7C5B","548A3A4B33E4DE36644FCCAA4085BFE12A250942422671C85E075D87BB5446B1","7.477","False",,"True",
"C:\Clash\clash95_isolate_surface_absinput.exe","clash95_isolate_surface_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_surface_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_isolate_surface_absinput-centered-exit\after.png","724D5C0E183E2D8ABFE8EA50334F278CB7502A7F315216B48C4529ABEFCDF77A","35925A725809AFA9A403F0857FC02422D31F6077DAC64C0816EF294F4CE0EB49","11.434","False",,"True",
"C:\Clash\clash95_hdmenu_absinput.exe","clash95_hdmenu_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hdmenu_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hdmenu_absinput-native-exit\after.png","E727AA58D1D6FF10885FC7E810AB341A5B4F64DB30D28EFB5AD5842FED2829F1","CD433A4B69B3EF7049608B4876A82F37A630D4A0E02A65782AD356A7806FA795","7.101","False",,"True",
"C:\Clash\clash95_hdmenu_absinput.exe","clash95_hdmenu_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hdmenu_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hdmenu_absinput-centered-exit\after.png","E727AA58D1D6FF10885FC7E810AB341A5B4F64DB30D28EFB5AD5842FED2829F1","35925A725809AFA9A403F0857FC02422D31F6077DAC64C0816EF294F4CE0EB49","7.153","False",,"True",
"C:\Clash\clash95_hdcentered_visual_absinput.exe","clash95_hdcentered_visual_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hdcentered_visual_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hdcentered_visual_absinput-native-exit\after.png","724D5C0E183E2D8ABFE8EA50334F278CB7502A7F315216B48C4529ABEFCDF77A","35925A725809AFA9A403F0857FC02422D31F6077DAC64C0816EF294F4CE0EB49","11.434","False",,"True",
"C:\Clash\clash95_hdcentered_visual_absinput.exe","clash95_hdcentered_visual_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hdcentered_visual_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121821\clash95_hdcentered_visual_absinput-centered-exit\after.png","39D184291C6FCF1BC764334B10B1889E40400FD7370FF7A9B6E49E7EC8EB03AF","548A3A4B33E4DE36644FCCAA4085BFE12A250942422671C85E075D87BB5446B1","6.613","False",,"True",
