library,symbol,address
GDI32.DLL,GetStockObject,000ea740
GDI32.DLL,StretchDIBits,000ea798
GDI32.DLL,DeleteDC,000ea6fa
GDI32.DLL,GetObjectA,000ea726
GDI32.DLL,SelectObject,000ea752
GDI32.DLL,SetTextColor,000ea77a
GDI32.DLL,GetDeviceCaps,000ea716
GDI32.DLL,CreateFontA,000ea6ec
GDI32.DLL,SetBkMode,000ea762
GDI32.DLL,SetPixel,000ea76e
GDI32.DLL,GetPixel,000ea734
GDI32.DLL,StretchBlt,000ea78a
GDI32.DLL,TextOutA,000ea7a8
GDI32.DLL,CreateCompatibleDC,000ea6d6
GDI32.DLL,DeleteObject,000ea706
USER32.DLL,ShowWindow,000ea904
USER32.DLL,MessageBoxA,000ea89e
USER32.DLL,LoadIconA,000ea884
USER32.DLL,LoadCursorA,000ea876
USER32.DLL,RegisterClassA,000ea8dc
USER32.DLL,CreateWindowExA,000ea7d8
USER32.DLL,UpdateWindow,000ea926
USER32.DLL,PeekMessageA,000ea8ba
USER32.DLL,GetMessageA,000ea84a
USER32.DLL,TranslateMessage,000ea912
USER32.DLL,DispatchMessageA,000ea7fc
USER32.DLL,WaitMessage,000ea946
USER32.DLL,SetRect,000ea8fa
USER32.DLL,IntersectRect,000ea858
USER32.DLL,IsRectEmpty,000ea868
USER32.DLL,EqualRect,000ea810
USER32.DLL,CharUpperBuffA,000ea7b4
USER32.DLL,PostQuitMessage,000ea8ca
USER32.DLL,DefWindowProcA,000ea7ea
USER32.DLL,ValidateRect,000ea936
USER32.DLL,GetClientRect,000ea81c
USER32.DLL,ClientToScreen,000ea7c6
USER32.DLL,LoadImageA,000ea890
USER32.DLL,ReleaseDC,000ea8ee
USER32.DLL,GetDC,000ea82c
USER32.DLL,OffsetRect,000ea8ac
USER32.DLL,GetForegroundWindow,000ea834
WINMM.DLL,timeGetTime,000ea954
WINMM.DLL,waveOutUnprepareHeader,000ea9d2
WINMM.DLL,waveOutPrepareHeader,000ea9aa
WINMM.DLL,waveOutWrite,000ea9ec
WINMM.DLL,waveOutGetDevCapsA,000ea972
WINMM.DLL,waveOutClose,000ea962
WINMM.DLL,waveOutGetNumDevs,000ea988
WINMM.DLL,waveOutReset,000ea9c2
WINMM.DLL,waveOutOpen,000ea99c
KERNEL32.DLL,ExitProcess,000eaac6
KERNEL32.DLL,ExitThread,000eaad4
KERNEL32.DLL,RtlUnwind,000eaf34
KERNEL32.DLL,GetDriveTypeA,000eac4a
KERNEL32.DLL,QueryPerformanceFrequency,000eaeb4
KERNEL32.DLL,QueryPerformanceCounter,000eae9a
KERNEL32.DLL,Sleep,000eb00e
KERNEL32.DLL,GetVersion,000ead78
KERNEL32.DLL,GetTickCount,000ead4e
KERNEL32.DLL,InitializeCriticalSection,000eadd6
KERNEL32.DLL,CreateEventA,000eaa1e
KERNEL32.DLL,WaitForSingleObject,000eb0a2
KERNEL32.DLL,CreateThread,000eaa4e
KERNEL32.DLL,GlobalMemoryStatus,000eadb0
KERNEL32.DLL,PulseEvent,000eae8c
KERNEL32.DLL,ResumeThread,000eaf24
KERNEL32.DLL,SetEvent,000eaf9e
KERNEL32.DLL,EnterCriticalSection,000eaaae
KERNEL32.DLL,LeaveCriticalSection,000eadf2
KERNEL32.DLL,ResetEvent,000eaf16
KERNEL32.DLL,SuspendThread,000eb016
KERNEL32.DLL,SetThreadPriority,000eafdc
KERNEL32.DLL,RaiseException,000eaed0
KERNEL32.DLL,ReadConsoleInputA,000eaee2
KERNEL32.DLL,GetConsoleMode,000eabb8
KERNEL32.DLL,SetConsoleMode,000eaf58
KERNEL32.DLL,GetLastError,000eacc0
KERNEL32.DLL,GetEnvironmentStrings,000eac5a
KERNEL32.DLL,GetModuleFileNameA,000eace0
KERNEL32.DLL,GetCommandLineA,000eab94
KERNEL32.DLL,GetCommandLineW,000eaba6
KERNEL32.DLL,GetModuleHandleA,000ead0c
KERNEL32.DLL,TlsAlloc,000eb026
KERNEL32.DLL,TlsSetValue,000eb04a
KERNEL32.DLL,TlsGetValue,000eb03c
KERNEL32.DLL,CloseHandle,000ea9fc
KERNEL32.DLL,VirtualAlloc,000eb074
KERNEL32.DLL,CreateFileA,000eaa2e
KERNEL32.DLL,GetCurrentProcessId,000eabe2
KERNEL32.DLL,SetFilePointer,000eafaa
KERNEL32.DLL,WriteFile,000eb0de
KERNEL32.DLL,GetLocalTime,000eacd0
KERNEL32.DLL,ReadFile,000eaef6
KERNEL32.DLL,DeleteFileA,000eaa76
KERNEL32.DLL,GetCurrentDirectoryA,000eabca
KERNEL32.DLL,SetConsoleCtrlHandler,000eaf40
KERNEL32.DLL,WriteConsoleA,000eb0ce
KERNEL32.DLL,GetCurrentThread,000eac22
KERNEL32.DLL,GetStdHandle,000ead3e
KERNEL32.DLL,GetModuleFileNameW,000eacf6
KERNEL32.DLL,MultiByteToWideChar,000eae60
KERNEL32.DLL,VirtualQuery,000eb092
KERNEL32.DLL,SetUnhandledExceptionFilter,000eaff0
KERNEL32.DLL,GetCurrentThreadId,000eac0c
KERNEL32.DLL,WideCharToMultiByte,000eb0b8
KERNEL32.DLL,VirtualFree,000eb084
KERNEL32.DLL,GetFileType,000eac9e
KERNEL32.DLL,GetFullPathNameA,000eacac
KERNEL32.DLL,FlushFileBuffers,000eab6a
KERNEL32.DLL,GetTimeZoneInformation,000ead5e
KERNEL32.DLL,FileTimeToLocalFileTime,000eaafa
KERNEL32.DLL,FileTimeToSystemTime,000eab14
KERNEL32.DLL,DeleteCriticalSection,000eaa5e
KERNEL32.DLL,SetLastError,000eafbc
KERNEL32.DLL,TlsFree,000eb032
KERNEL32.DLL,MoveFileA,000eae54
KERNEL32.DLL,LoadLibraryA,000eae0a
KERNEL32.DLL,GetProcAddress,000ead2c
KERNEL32.DLL,UnhandledExceptionFilter,000eb058
KERNEL32.DLL,GetFileAttributesA,000eac88
KERNEL32.DLL,CreateProcessA,000eaa3c
KERNEL32.DLL,GetExitCodeProcess,000eac72
KERNEL32.DLL,GetCurrentProcess,000eabf8
KERNEL32.DLL,DuplicateHandle,000eaa9c
KERNEL32.DLL,SetStdHandle,000eafcc
KERNEL32.DLL,OutputDebugStringA,000eae76
KERNEL32.DLL,GlobalAlloc,000ead86
KERNEL32.DLL,_lread,000eb0fe
KERNEL32.DLL,CreateDirectoryA,000eaa0a
KERNEL32.DLL,GlobalFree,000ead94
KERNEL32.DLL,GetCPInfo,000eab88
KERNEL32.DLL,LoadResource,000eae1a
KERNEL32.DLL,GetOEMCP,000ead20
KERNEL32.DLL,FindResourceA,000eab5a
KERNEL32.DLL,FileTimeToDosDateTime,000eaae2
KERNEL32.DLL,FindFirstFileA,000eab38
KERNEL32.DLL,GlobalLock,000eada2
KERNEL32.DLL,FindClose,000eab2c
KERNEL32.DLL,LocalFileTimeToFileTime,000eae2a
KERNEL32.DLL,SetEnvironmentVariableW,000eaf84
KERNEL32.DLL,SetEnvironmentVariableA,000eaf6a
KERNEL32.DLL,_lopen,000eb0f4
KERNEL32.DLL,FindNextFileA,000eab4a
KERNEL32.DLL,LockResource,000eae44
KERNEL32.DLL,GetDiskFreeSpaceA,000eac36
KERNEL32.DLL,DosDateTimeToFileTime,000eaa84
KERNEL32.DLL,_lclose,000eb0ea
KERNEL32.DLL,RemoveDirectoryA,000eaf02
KERNEL32.DLL,GetACP,000eab7e
KERNEL32.DLL,GlobalUnlock,000eadc6
DINPUT.DLL,DirectInputCreateA,000eb108
DDRAW.DLL,DirectDrawCreate,000eb11e
DSOUND.DLL,DirectSoundCreate,000eb132
AVIFIL32.DLL,AVIStreamRelease,000eb228
AVIFIL32.DLL,AVIFileRelease,000eb196
AVIFIL32.DLL,AVIStreamBeginStreaming,000eb1a8
AVIFIL32.DLL,AVIStreamInfoA,000eb1f0
AVIFIL32.DLL,AVIStreamReadFormat,000eb212
AVIFIL32.DLL,AVIFileGetStream,000eb154
AVIFIL32.DLL,AVIFileInfoA,000eb168
AVIFIL32.DLL,AVIFileOpenA,000eb186
AVIFIL32.DLL,AVIFileInit,000eb178
AVIFIL32.DLL,AVIStreamRead,000eb202
AVIFIL32.DLL,AVIStreamFindSample,000eb1da
AVIFIL32.DLL,AVIFileExit,000eb146
AVIFIL32.DLL,AVIStreamEndStreaming,000eb1c2
MSVFW32.DLL,ICGetDisplayFormat,000eb256
MSVFW32.DLL,ICLocate,000eb26c
MSVFW32.DLL,ICDecompress,000eb246
MSVFW32.DLL,ICSendMessage,000eb278
MSVFW32.DLL,ICClose,000eb23c
